Fraction of Charged Amino Acids,Sequence Hydrophobic Patterning
0.2674698795180723,0.7526058907384653
0.3644067796610169,0.5767276299090456
0.18222222222222223,0.6365710458451282
0.291970802919708,0.6745563979870047
0.23443223443223443,0.694129279239031
0.08695652173913043,0.4681125053125466
0.2988505747126437,0.5428895631652803
0.195,0.6377798506821605
0.27346938775510204,0.6612747879911836
0.265625,0.4691096447288029
0.3219814241486068,0.6833776375444995
0.30597014925373134,0.6650043173472937
0.2863636363636364,0.6518033409557182
0.2837022132796781,0.7523420829198976
0.15298507462686567,0.6726763522862139
0.2,0.651095027937518
0.15584415584415584,0.7042926042976135
0.15865384615384615,0.6557957726182997
0.24468085106382978,0.5459430112084194
0.24937655860349128,0.7450060975101603
0.2862595419847328,0.6717520616861284
0.2983425414364641,0.6129838294543303
0.2822822822822823,0.6891413261596406
0.3368200836820084,0.7215362059818551
0.2127659574468085,0.7249135864174341
0.3051643192488263,0.6645713994624782
0.2792207792207792,0.5930023937257756
0.25,0.5443742292822328
0.25806451612903225,0.5745170730689556
0.24919093851132687,0.677124910820708
0.24444444444444444,0.4042080585590551
0.28205128205128205,0.6021006774565223
0.20714285714285716,0.7268713732094764
0.3333333333333333,0.4817582467592262
0.2591362126245847,0.669944157859438
0.25,0.6016130901595923
0.22021660649819494,0.7020962686095173
0.10628019323671498,0.6643457148862713
0.2669172932330827,0.6388296861146141
0.24336283185840707,0.7542960976985016
0.2641509433962264,0.6611134885392477
0.28405797101449276,0.7157160741722146
0.2545454545454545,0.4282943760804159
0.10835913312693499,0.7344284460445193
0.2087912087912088,0.5621797221905533
0.17857142857142858,0.6906951163346751
0.24517906336088155,0.7197938166836331
0.2995391705069124,0.6609337846739235
0.3253012048192771,0.7757874931750144
0.2595419847328244,0.6048182440217642
0.23943661971830985,0.5147561261009518
0.2392638036809816,0.7904789930737943
0.17424242424242425,0.5629022636621323
0.26148409893992935,0.6912519835604564
0.2876712328767123,0.5251471558613213
0.3236151603498542,0.7094137012768422
0.20926243567753003,0.793582930062416
0.20689655172413793,0.6578361726160559
0.3059490084985836,0.6993025728588995
0.25869565217391305,0.7523124155794072
0.2469879518072289,0.6311151905378247
0.22535211267605634,0.8006200187776953
0.22742474916387959,0.7084537179930471
0.3113207547169811,0.6561011354817664
0.27906976744186046,0.5873989642852439
0.24607329842931938,0.7246591231933495
0.23595505617977527,0.5398547186404963
0.24806201550387597,0.5902436388234682
0.24444444444444444,0.5622667290443347
0.3763440860215054,0.5208669397978615
0.24074074074074073,0.6006680247879658
0.2857142857142857,0.8266523093404845
0.21893491124260356,0.6238340202422409
0.27941176470588236,0.7006958552821719
0.2647058823529412,0.6227980063201045
0.22077922077922077,0.6591527548981715
0.26975476839237056,0.7096547045238422
0.23369565217391305,0.6559496763060854
0.2632794457274827,0.7522047482741836
0.19528619528619529,0.7167004471367688
0.175,0.6894544306441094
0.2603550295857988,0.6897316403531839
0.22058823529411764,0.4754691738782768
0.3140495867768595,0.5629286351859799
0.24102564102564103,0.6543083030011887
0.272108843537415,0.6014171588926756
0.2602739726027397,0.7757354102495789
0.2562189054726368,0.7457014483982066
0.1206896551724138,0.5903815918516413
0.23780487804878048,0.6143587836596973
0.2054794520547945,0.6259365388039559
0.3244444444444444,0.6349112537569713
0.3203125,0.5639818424116845
0.26666666666666666,0.5763310941463636
0.29012345679012347,0.6892801798446809
0.2066115702479339,0.660044563790696
0.23123123123123124,0.7422208467805005
0.20447284345047922,0.6766105310847108
0.2127659574468085,0.7203732668822007
0.2740740740740741,0.576717840636
0.25116279069767444,0.6665671701593755
0.2315369261477046,0.7764960971196178
0.3172690763052209,0.6647152823871778
0.2835820895522388,0.644025954349518
0.21394230769230768,0.7459376333354452
0.24434389140271492,0.6819005917783819
0.2554517133956386,0.7014738626400229
0.3877551020408163,0.5766292295966747
0.23163841807909605,0.614051631520528
0.22794117647058823,0.6168953057793938
