Fraction of Charged Amino Acids,Sequence Hydrophobic Patterning
0.3055555555555556,0.3576843173236231
0.32,0.4849000467187329
0.11764705882352941,0.49893523365745623
0.22448979591836735,0.44332548541815364
0.1935483870967742,0.38937189726997784
0.3088235294117647,0.4754720192333924
0.13846153846153847,0.6430156782235206
0.13157894736842105,0.460425317123191
0.1564625850340136,0.6392897914196267
0.5233160621761658,0.6151155437973711
0.3488372093023256,0.5472836528449816
0.3974358974358974,0.4698115946128164
0.1518987341772152,0.6621058226913549
0.17142857142857143,0.44209599629890844
0.48717948717948717,0.37013277425169866
0.0989010989010989,0.5302435842755536
0.2315270935960591,0.7347287967125117
0.24817518248175183,0.5675726328316688
0.16923076923076924,0.5309575037541541
0.1346153846153846,0.48378234077687726
0.2962962962962963,0.4332528349477939
0.1111111111111111,0.47685279399976427
0.12,0.54776386184262
0.11267605633802817,0.49390088359218687
0.2826086956521739,0.44509325240918024
0.22727272727272727,0.5425472629248527
0.45454545454545453,0.35283613636882555
0.1694915254237288,0.5086440003544747
0.12121212121212122,0.44060341646138973
0.3181818181818182,0.38102471382427805
0.2862903225806452,0.6196826625535254
0.22439024390243903,0.6605192712707804
0.22797927461139897,0.6317596873599912
0.10256410256410256,0.47086682905313815
0.28421052631578947,0.5033342671474271
0.3670886075949367,0.5673217276266179
0.3007915567282322,0.7311277969385157
0.2345132743362832,0.632372060651119
0.36363636363636365,0.38206264329313466
0.40625,0.3377923458301555
0.24444444444444444,0.4393628763457219
0.25949367088607594,0.5987623435359085
0.3861003861003861,0.7496423127222257
0.3551912568306011,0.5870219074653317
0.3,0.42625654131896085
0.1836734693877551,0.5464136429609477
0.2553191489361702,0.5120549843250635
0.26126126126126126,0.7597174328288236
0.2198019801980198,0.7550830167433807
0.1888111888111888,0.6297251091791378
0.22807017543859648,0.6142409225010885
0.3333333333333333,0.4612077718325617
0.41935483870967744,0.3507462976954848
0.2987012987012987,0.6675637565323833
0.38636363636363635,0.40809754822975025
0.3,0.39902282436337566
0.21621621621621623,0.5225698774553249
0.13675213675213677,0.6313668808027725
0.23404255319148937,0.43791279620126583
0.46511627906976744,0.39716310179251485
0.2804878048780488,0.5084964824217555
0.27011494252873564,0.6880386313943283
0.11764705882352941,0.4385698409498384
0.21518987341772153,0.6153151293025807
0.1111111111111111,0.6797958904462247
0.21052631578947367,0.46711716733007125
0.24489795918367346,0.4247889698752801
0.23222748815165878,0.6116803168769749
0.15625,0.4034705838744281
0.20930232558139536,0.4402791108798387
0.2558139534883721,0.5004391957215623
0.32,0.6469566688488484
0.20408163265306123,0.46855276128855916
0.2781954887218045,0.5449430014422493
0.4025974025974026,0.44585701303741326
0.1443850267379679,0.6825559772859514
0.12698412698412698,0.676423732645624
0.34324324324324323,0.6564229093078392
0.3235294117647059,0.3844464925212832
0.23746701846965698,0.8262806304504975
0.20967741935483872,0.4610366280924405
0.18451400329489293,0.8039839076798447
0.16911764705882354,0.6070586823892277
0.16049382716049382,0.5326005506399508
0.3392857142857143,0.4402298523396192
0.26666666666666666,0.4740274908473646
0.25806451612903225,0.5758451253048115
0.24166666666666667,0.5535605791027676
0.2,0.4186967776264553
0.3620689655172414,0.46154839526481883
0.2972972972972973,0.45968156358094986
0.18,0.4435784013365493
0.3247863247863248,0.529951107798668
0.27586206896551724,0.48935026465899467
0.17391304347826086,0.5039344531119728
0.33116883116883117,0.5824546230532942
0.2845744680851064,0.6642389348761482
0.22627737226277372,0.5839373406189706
0.6352941176470588,0.4146531270565557
0.297029702970297,0.49326020619056077
0.26666666666666666,0.3827462109344154
0.4155844155844156,0.43212589421105857
0.16666666666666666,0.4756025814250341
0.3493975903614458,0.6567238487709633
0.14285714285714285,0.46843541627859175
0.2,0.42916848637808364
0.140625,0.5669914414724868
0.2916666666666667,0.47330475769938446
0.3142857142857143,0.42071038345984557
0.267515923566879,0.5988186710664268
0.29347826086956524,0.5200517348352384
0.19083969465648856,0.6208089234407825
0.30158730158730157,0.5865981042432528
0.3333333333333333,0.4587855832023812
0.16129032258064516,0.5133320282488042
